idWin	ind	overlapScore	samples	cM	cM.Mb	chrWin	startWin	endWin	winsize
chr1_inv_1	NC1	0.0	982	0.0	0.0	chr1	615746	785746	170000
chr1_inv_10	NC1	6.364000490791933	982	0.6480652230949016	0.03787549555571701	chr1	2145746	2315746	170000
chr1_inv_100	NC1	3.213026015465272	982	0.32719205860135153	0.019183755500937368	chr1	17445746	17615746	170000
chr1_inv_1000	NC1	0.8641228207510776	982	0.08799621392577166	0.0051716956467495745	chr1	170445746	170615746	170000
chr1_inv_1001	NC1	0.8989947004731597	982	0.09154732184044397	0.005380209637981412	chr1	170615746	170785746	170000
chr1_inv_1002	NC1	1.136789119536045	982	0.11576263946395568	0.006801690172907131	chr1	170785746	170955746	170000
chr1_inv_1003	NC1	1.1154990319973364	982	0.11359460610970838	0.006674450966382515	chr1	170955746	171125746	170000
chr1_inv_1004	NC1	2.754501480807139	982	0.2804991324650854	0.016453753181046225	chr1	171125746	171295746	170000
chr1_inv_1005	NC1	2.2353963634687366	982	0.2276371042228856	0.013359982541547187	chr1	171295746	171465746	170000
chr1_inv_1006	NC1	0.21420931387875236	982	0.021813575751400444	0.0012828716542603706	chr1	171465746	171635746	170000
chr1_inv_1007	NC1	0.28732964427962626	982	0.029259637910348905	0.0017206516656467611	chr1	171635746	171805746	170000
chr1_inv_1008	NC1	0.6056854377034233	982	0.06167876147692702	0.0036259255540454084	chr1	171805746	171975746	170000
chr1_inv_1009	NC1	0.5472210049526531	982	0.055725153253834335	0.00327612422704476	chr1	171975746	172145746	170000
chr1_inv_101	NC1	2.810839389205988	982	0.28623619034684195	0.016789319999372488	chr1	17615746	17785746	170000
chr1_inv_1010	NC1	0.2642468574273682	982	0.02690904861785827	0.0015824593498643272	chr1	172145746	172315746	170000
chr1_inv_1011	NC1	0.27272870305240227	982	0.027772780351568455	0.0016332393238949197	chr1	172315746	172485746	170000
chr1_inv_1012	NC1	0.27272870305240227	982	0.027772780351568455	0.0016332393238949197	chr1	172485746	172655746	170000
chr1_inv_1013	NC1	0.7905858459095452	982	0.0805077236160433	0.004731937850222295	chr1	172655746	172825746	170000
