"Inversion","Population","Imputability","Good_Geno","P_pop","P_100","P_250","P_500","Summary","Heteros"
"HsInv0003","EUR","Tagged","1","0.997916666666667","0.999333333333333","0.998166666666667","0.9985","2","5"
"HsInv0003","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0003","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0003","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0003","AFR","Tagged","1","1","1","1","1","2","2"
"HsInv0004","EUR","Tagged","1","1","1","1","1","2","2"
"HsInv0004","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0004","ALL","Tagged","1",NA,"0.95","0.911","0.972","1","1"
"HsInv0004","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0004","AFR","Tagged","1","1","1","1","1","1","0"
"HsInv0006","EUR","Tagged","1","0.978","0.996166666666667","0.997166666666667","0.997416666666667","3","3"
"HsInv0006","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0006","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0006","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0006","AFR","Tagged","1","1","1","1","1","2","1"
"HsInv0014","EUR","Tagged","1","0.9995","1","1","0.999916666666667","2","1"
"HsInv0014","EAS",NA,"1","1","0.999666666666667","1","0.999666666666667","2","1"
"HsInv0014","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0014","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0014","AFR","Tagged","1","1","0.974666666666667","0.980333333333333","0.997333333333333","1","0"
"HsInv0015","EUR","Imputable","1","0.994083333333333","0.996583333333333","0.998833333333333","0.997666666666667","3","3"
"HsInv0015","EAS",NA,"1","0.996333333333333","0.996333333333333","0.994","0.983666666666667","2","1"
"HsInv0015","ALL","Imputable","1",NA,"1","0.998","0.988","1","1"
"HsInv0015","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0015","AFR","Tagged","1","0.996","0.972333333333333","0.972","0.972333333333333","3","1"
"HsInv0016","EUR","Tagged","1","0.997","0.996666666666667","0.99575","0.994083333333333","2","4"
"HsInv0016","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0016","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0016","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0016","AFR","Tagged","1","0.996","1","1","1","2","0"
"HsInv0030","EUR","Imputable","1","0.9785","0.979083333333333","0.98075","0.985166666666667","2","3"
"HsInv0030","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0030","ALL","No_Imputable","1",NA,"0.984","0.927","0.976","1","0"
"HsInv0030","SAS",NA,"1","0.993","0.826","0.856","0.929","1","1"
"HsInv0030","AFR","No_Imputable","1","1","1","1","1","1","0"
"HsInv0031","EUR","Tagged","1","1","1","1","1","3","5"
"HsInv0031","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0031","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0031","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0031","AFR","Tagged","1","0.999333333333333","0.993333333333333","0.998333333333333","0.997666666666667","3","1"
"HsInv0040","EUR","Tagged","1","1","0.996583333333333","1","1","3","7"
"HsInv0040","EAS",NA,"1","0.999","0.933666666666667","0.984666666666667","0.991","2","1"
"HsInv0040","ALL","Tagged","1",NA,"0.914","0.845","0.998","1","1"
"HsInv0040","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0040","AFR","Tagged","1","1","1","1","0.998","1","0"
"HsInv0041","EUR","Tagged","1","0.989916666666667","0.963166666666667","0.97875","0.97625","3","5"
"HsInv0041","EAS",NA,"1","0.998","0.995666666666667","0.998","1","2","2"
"HsInv0041","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0041","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0041","AFR","Tagged","1","1","0.912333333333333","0.949","0.95","2","2"
"HsInv0045","EUR","Tagged","1","0.998416666666667","0.999166666666667","0.99775","0.995666666666667","3","8"
"HsInv0045","EAS",NA,"1","0.999","1","1","1","2","2"
"HsInv0045","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0045","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0045","AFR","Tagged","1","1","1","1","1","1","3"
"HsInv0052nd","EUR","Tagged","0.666666666666667","0.831083333333333","0.71675","0.809166666666667","0.783583333333333","3","1"
"HsInv0052nd","EAS",NA,NA,"0.55","0.877","0.844333333333333","0.842333333333333","0","0"
"HsInv0052nd","ALL","Tagged","1",NA,"0.855","0.935","0.874","1","0"
"HsInv0052nd","SAS",NA,NA,NA,"0.849","0.818","0.949","0","0"
"HsInv0052nd","AFR","Tagged","0.666666666666667","0.722333333333333","0.733","0.686333333333333","0.672666666666667","2","0"
"HsInv0052si","EUR","Tagged","1","0.992","0.995","0.995","0.995","3","1"
"HsInv0052si","EAS",NA,NA,NA,"0.995","0.995","0.992","0","0"
"HsInv0052si","ALL","Tagged","1",NA,"0.995","0.995","0.995","1","0"
"HsInv0052si","SAS",NA,NA,NA,"0.995","0.995","0.995","0","0"
"HsInv0052si","AFR","Tagged","0.666666666666667","0.964","0.945333333333333","0.961666666666667","0.994666666666667","2","1"
"HsInv0055","EUR","Imputable","1","0.995416666666667","0.997083333333333","0.988583333333333","0.986416666666667","2","2"
"HsInv0055","EAS",NA,"1","0.975","0.988333333333333","0.987","0.962666666666667","1","0"
"HsInv0055","ALL","Imputable","1",NA,"0.988","0.99","0.993","1","0"
"HsInv0055","SAS",NA,"1","0.999","0.991","1","1","1","0"
"HsInv0055","AFR","Imputable","1","0.979","0.977666666666667","0.954","0.994333333333333","2","2"
"HsInv0058","EUR","Tagged","0.583333333333333","0.582916666666667","0.607333333333333","0.589916666666667","0.617416666666667","3","4"
"HsInv0058","EAS",NA,"0.333333333333333","0.568333333333333","0.721666666666667","0.618","0.65","1","0"
"HsInv0058","ALL","Tagged","1",NA,"0.67","0.555","0.559","1","0"
"HsInv0058","SAS",NA,NA,"0.535","0.606","0.439","0.444","0","0"
"HsInv0058","AFR","Tagged","0.333333333333333","0.466333333333333","0.460666666666667","0.506333333333333","0.612666666666667","1","1"
"HsInv0059","EUR","Tagged","1","1","1","1","0.997916666666667","2","4"
"HsInv0059","EAS",NA,"1","0.991666666666667","0.999666666666667","0.992333333333333","0.997","2","2"
"HsInv0059","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0059","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0059","AFR","Tagged","1","0.997666666666667","0.984","0.999","0.997666666666667","2","1"
"HsInv0060","EUR","Tagged","1","0.994916666666667","1","1","0.998166666666667","3","7"
"HsInv0060","EAS",NA,"1","0.99","1","0.998333333333333","0.998666666666667","2","1"
"HsInv0060","ALL","Tagged","1",NA,"1","0.978","1","1","1"
"HsInv0060","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0060","AFR","Tagged","1","0.996","1","1","1","2","2"
"HsInv0061","EUR","No_Imputable","1","0.999583333333333","0.99725","0.996666666666667","1","1","0"
"HsInv0061","EAS",NA,"1","0.909333333333333","0.968333333333333","0.990333333333333","0.973666666666667","1","0"
"HsInv0061","ALL","No_Imputable","1",NA,"1","1","1","1","0"
"HsInv0061","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0061","AFR","No_Polymorphic","1","1","1","0.999333333333333","1","1","0"
"HsInv0063","EUR","Tagged","1","0.995666666666667","1","0.999416666666667","0.99675","3","6"
"HsInv0063","EAS",NA,"1","0.999","0.994666666666667","0.982666666666667","0.996666666666667","2","1"
"HsInv0063","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0063","SAS",NA,"1","0.999","1","1","0.993","1","1"
"HsInv0063","AFR","Tagged","1","0.971333333333333","0.984333333333333","0.994666666666667","0.981","2","1"
"HsInv0068","EUR","Tagged","1","1","0.983333333333333","1","1","2","8"
"HsInv0068","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0068","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0068","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0068","AFR","Tagged","1","1","1","1","1","2","0"
"HsInv0069","EUR","No_Imputable","0.75","0.785333333333333","0.730666666666667","0.734833333333333","0.710583333333333","2","4"
"HsInv0069","EAS",NA,"0.333333333333333","0.614","0.530666666666667","0.571333333333333","0.561","1","1"
"HsInv0069","ALL","No_Imputable","1",NA,"0.83","0.961","0.907","1","0"
"HsInv0069","SAS",NA,"1","0.943","0.686","0.715","0.794","1","0"
"HsInv0069","AFR","No_Imputable",NA,"0.671","0.575","0.521333333333333","0.739","0","0"
"HsInv0092","EUR","Tagged","1","0.993833333333333","1","0.99975","0.99975","2","3"
"HsInv0092","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0092","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0092","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0092","AFR","Tagged","1","1","1","1","1","2","2"
"HsInv0095","EUR","Tagged","1","0.999916666666667","1","1","0.999916666666667","3","4"
"HsInv0095","EAS",NA,"1","0.999","1","1","1","2","2"
"HsInv0095","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0095","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0095","AFR","Tagged","1","1","1","1","1","2","1"
"HsInv0097","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0097","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0097","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","AFR","Tagged","1","0.989666666666667","0.997666666666667","0.997666666666667","0.998333333333333","1","0"
