"Inversion","Population","Imputability","Good_Geno","P_pop","P_100","P_250","P_500","Summary","Heteros"
"HsInv0003","EUR","Tagged","1","0.998","1","1","0.9965","2","5"
"HsInv0003","ALL","Tagged","1",NA,"1","1","0.986","1","0"
"HsInv0003","AFR","Tagged","1","0.999333333333333","1","1","1","2","2"
"HsInv0003","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0003","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0004","EUR","Tagged","1","1","1","1","1","2","2"
"HsInv0004","ALL","Tagged","1",NA,"0.994","0.967","1","1","1"
"HsInv0004","AFR","Tagged","1","1","1","1","1","1","0"
"HsInv0004","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0004","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0006","EUR","Tagged","1","0.963166666666667","1","0.990833333333333","0.984583333333333","3","3"
"HsInv0006","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0006","AFR","Tagged","1","0.993666666666667","1","1","1","2","1"
"HsInv0006","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0006","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0014","EUR","Tagged","1","1","0.995833333333333","1","0.999583333333333","2","1"
"HsInv0014","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0014","AFR","Tagged","1","1","0.994666666666667","1","1","1","0"
"HsInv0014","EAS",NA,"1","1","1","1","1","2","1"
"HsInv0014","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0015","EUR","Imputable","1","0.993166666666667","0.9985","0.998916666666667","0.999416666666667","3","3"
"HsInv0015","ALL","Imputable","1",NA,"1","0.999","0.999","1","1"
"HsInv0015","AFR","Tagged","1","0.996","0.941333333333333","0.975","0.934","3","1"
"HsInv0015","EAS",NA,"1","0.992333333333333","0.999333333333333","0.991666666666667","0.999333333333333","2","1"
"HsInv0015","SAS",NA,NA,NA,"1","0.999","0.999","0","0"
"HsInv0016","EUR","Tagged","1","0.997","1","1","1","2","4"
"HsInv0016","ALL","Tagged","1",NA,"1","1","0.999","1","0"
"HsInv0016","AFR","Tagged","1","0.996","1","1","1","2","0"
"HsInv0016","EAS",NA,"1","0.997","1","1","1","1","0"
"HsInv0016","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0030","EUR","Imputable","1","0.993416666666667","0.985666666666667","0.990666666666667","0.994666666666667","2","3"
"HsInv0030","ALL","No_Imputable","1",NA,"1","1","1","1","0"
"HsInv0030","AFR","No_Imputable","1","0.999","1","1","0.999666666666667","1","0"
"HsInv0030","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0030","SAS",NA,"1","0.983","0.785","0.97","0.977","1","1"
"HsInv0031","EUR","Tagged","1","1","1","1","1","3","5"
"HsInv0031","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0031","AFR","Tagged","1","0.999","0.937666666666667","0.991666666666667","0.996","3","1"
"HsInv0031","EAS",NA,"1","0.999","1","1","1","2","1"
"HsInv0031","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0040","EUR","Tagged","1","1","1","1","1","3","7"
"HsInv0040","ALL","Tagged","1",NA,"0.753","0.8","0.827","1","1"
"HsInv0040","AFR","Tagged","1","1","1","1","0.999666666666667","1","0"
"HsInv0040","EAS",NA,"1","0.999","0.953333333333333","0.969","0.983","2","1"
"HsInv0040","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0041","EUR","Tagged","1","1","0.999916666666667","1","0.99975","3","5"
"HsInv0041","ALL","Tagged","1",NA,"1","1","0.995","1","0"
"HsInv0041","AFR","Tagged","1","1","0.926333333333333","0.949333333333333","0.949333333333333","2","2"
"HsInv0041","EAS",NA,"1","0.998333333333333","1","1","0.991","2","2"
"HsInv0041","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0045","EUR","Tagged","1","0.998416666666667","0.997","0.995333333333333","0.997583333333333","3","8"
"HsInv0045","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0045","AFR","Tagged","1","1","1","1","1","1","3"
"HsInv0045","EAS",NA,"1","0.993","1","1","1","2","2"
"HsInv0045","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0052nd","EUR","Tagged","0.583333333333333","0.72325","0.758416666666667","0.696166666666667","0.741833333333333","2","2"
"HsInv0052nd","ALL","Tagged","1",NA,"0.917","0.954","0.899","1","0"
"HsInv0052nd","AFR","Tagged","0.333333333333333","0.660666666666667","0.785333333333333","0.733","0.677666666666667","1","0"
"HsInv0052nd","EAS",NA,NA,"0.496","0.82","0.784333333333333","0.825333333333333","0","0"
"HsInv0052nd","SAS",NA,NA,NA,"0.654","0.7","0.45","0","0"
"HsInv0052si","EUR","Tagged","1","0.987666666666667","0.995","0.986916666666667","0.98675","3","1"
"HsInv0052si","ALL","Tagged","1",NA,"0.995","0.994","0.995","1","0"
"HsInv0052si","AFR","Tagged","0.666666666666667","0.973333333333333","0.846666666666667","0.865666666666667","0.829666666666667","2","1"
"HsInv0052si","EAS",NA,NA,NA,"0.995","0.995","0.995","0","0"
"HsInv0052si","SAS",NA,NA,NA,"0.995","0.995","0.995","0","0"
"HsInv0055","EUR","Imputable","1","0.99075","0.982666666666667","0.985333333333333","0.973666666666667","2","2"
"HsInv0055","ALL","Imputable","1",NA,"0.983","1","0.989","1","0"
"HsInv0055","AFR","Imputable","1","0.937666666666667","0.983333333333333","0.989333333333333","1","2","2"
"HsInv0055","EAS",NA,"1","0.956666666666667","0.977333333333333","0.982","0.975","1","0"
"HsInv0055","SAS",NA,"1","0.999","0.961","0.987","1","1","0"
"HsInv0058","EUR","Tagged","0.583333333333333","0.52075","0.60725","0.56075","0.505833333333333","1","0"
"HsInv0058","ALL","Tagged",NA,NA,"0.486","0.854","0.847","0","0"
"HsInv0058","AFR","Tagged",NA,"0.511666666666667","0.498666666666667","0.859","0.729","0","0"
"HsInv0058","EAS",NA,NA,"0.487","0.634","0.635666666666667","0.487666666666667","0","0"
"HsInv0058","SAS",NA,NA,"0.535","0.764","0.482","0.479","0","0"
"HsInv0059","EUR","Tagged","1","0.999916666666667","0.999083333333333","0.999833333333333","1","2","4"
"HsInv0059","ALL","Tagged","1",NA,"0.989","1","1","1","1"
"HsInv0059","AFR","Tagged","1","0.984","0.999333333333333","0.999","0.983333333333333","2","1"
"HsInv0059","EAS",NA,"1","0.987333333333333","0.999333333333333","0.994333333333333","0.990333333333333","2","2"
"HsInv0059","SAS",NA,"1","0.988","1","1","1","1","1"
"HsInv0060","EUR","Tagged","1","0.9875","1","1","1","3","7"
"HsInv0060","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0060","AFR","Tagged","1","0.996","1","1","1","2","2"
"HsInv0060","EAS",NA,"1","0.995333333333333","0.997666666666667","1","0.996666666666667","2","1"
"HsInv0060","SAS",NA,NA,NA,"1","1","1","0","0"
"HsInv0061","EUR","No_Imputable","1","0.999583333333333","0.99675","0.99875","0.99875","1","0"
"HsInv0061","ALL","No_Imputable","1",NA,"1","1","1","1","0"
"HsInv0061","AFR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0061","EAS",NA,"1","0.942","0.964333333333333","0.969333333333333","0.976333333333333","1","0"
"HsInv0061","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0063","EUR","Tagged","1","0.996833333333333","1","0.994916666666667","0.999333333333333","3","6"
"HsInv0063","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0063","AFR","Tagged","1","0.989333333333333","0.922666666666667","0.994","0.949666666666667","2","1"
"HsInv0063","EAS",NA,"1","0.999","0.989666666666667","0.998333333333333","0.996333333333333","2","1"
"HsInv0063","SAS",NA,"1","0.999","1","1","1","1","1"
"HsInv0068","EUR","Tagged","1","1","0.995833333333333","1","1","2","8"
"HsInv0068","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0068","AFR","Tagged","1","1","1","1","1","2","0"
"HsInv0068","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0068","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0069","EUR","No_Imputable","0.666666666666667","0.739833333333333","0.726416666666667","0.71525","0.72725","2","4"
"HsInv0069","ALL","No_Imputable","1",NA,"0.901","0.899","0.924","1","0"
"HsInv0069","AFR","No_Imputable","0.666666666666667","0.639","0.686333333333333","0.696333333333333","0.681666666666667","2","1"
"HsInv0069","EAS",NA,"0.666666666666667","0.652","0.486666666666667","0.638","0.561","1","2"
"HsInv0069","SAS",NA,"1","0.987","0.786","0.944","0.785","1","0"
"HsInv0092","EUR","Tagged","1","1","1","1","1","2","3"
"HsInv0092","ALL","Tagged","1",NA,"1","1","1","1","1"
"HsInv0092","AFR","Tagged","1","0.992","1","0.991666666666667","1","2","2"
"HsInv0092","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0092","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0095","EUR","Tagged","1","0.999916666666667","1","1","1","3","4"
"HsInv0095","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0095","AFR","Tagged","1","0.991666666666667","0.975666666666667","0.995666666666667","0.993","2","1"
"HsInv0095","EAS",NA,"1","0.999","1","1","1","2","2"
"HsInv0095","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","EUR","No_Polymorphic","1","1","1","1","1","1","0"
"HsInv0097","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0097","AFR","Tagged","1","0.984","0.999333333333333","0.987","0.973","1","0"
"HsInv0097","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0097","SAS",NA,"1","0.999","1","0.998","1","1","0"
"HsInv0098","EUR","Tagged","1","0.998166666666667","0.997","1","0.999416666666667","2","1"
"HsInv0098","ALL","Tagged","1",NA,"1","1","1","1","0"
"HsInv0098","AFR","Tagged","1","1","1","1","1","3","1"
"HsInv0098","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0098","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0102","EUR","Imputable","1","0.999833333333333","0.99775","1","0.999666666666667","3","1"
"HsInv0102","ALL","Imputable","1",NA,"1","1","1","1","0"
"HsInv0102","AFR","Imputable","1","0.994","0.995333333333333","0.998","0.985333333333333","2","2"
"HsInv0102","EAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0102","SAS",NA,"1","0.999","1","1","1","1","0"
"HsInv0105","EUR","Tagged","1","1","1","1","0.999166666666667","3","7"
"HsInv0105","ALL","Imputable","1",NA,"0.901","1","1","1","0"
"HsInv0105","AFR","Imputable","1","0.954","0.841","0.878","0.935","2","1"
